"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","up_down_width","match",40,4,3,1.44531759998063,0.733333333333333,0.25,0.25,0.5,3.27513850003015,2.45,"exp2",-1,5.55111512312578e-17,-0.25,1,1,0.75,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","up_down_width","match",41,5,4,3.73227149999002,0.675,0.55,0.5,0.35,1.79032889998052,3.25,"exp2",-1,-0.0500000000000001,-0.2,0.909090909090909,2.75,2,-0.75,-0.0909090909090911,0.0500000000000001
"p301","up_down_width","initial",42,5,4,1.30954440002097,0.7,0.55,0.55,0.2,3.49617910000961,3.35,"exp2",-1,-1.11022302462516e-16,-0.2,1,2.75,2.2,-0.55,-2.01858731750028e-16,1.11022302462516e-16
"p301","up_down_width","initial",43,5,5,1.22235270001693,0.7,0.25,0.1,0.55,5.29914580000332,3.05,"exp2",0,-0.15,0,0.4,1.25,0.5,-0.75,-0.6,0.15
"p301","up_down_width","initial",44,4,4,5.39367170003243,0.7,0.55,0.45,0.5,3.03222489997279,2.65,"exp2",0,-0.1,0,0.818181818181818,2.2,1.8,-0.4,-0.181818181818182,0.1
"p301","up_down_width","initial",45,4,4,1.64917250000872,0.7,0.4,0.3,0.5,2.89304469997296,2.5,"exp2",0,-0.1,0,0.75,1.6,1.2,-0.4,-0.25,0.1
"p301","up_down_width","match",46,3,3,3.40519710001536,2.2,0.4,0.3,0.2,2.48417770001106,4.8,"exp2",0,-0.1,0,0.75,1.2,0.9,-0.3,-0.25,0.1
"p301","up_down_width","initial",47,3,2,2.15170440002112,1.1,0.25,0.2,0.3,2.59171999996761,2.45,"exp2",-1,-0.05,-0.333333333333333,0.8,0.75,0.4,-0.35,-0.2,0.05
"p301","up_down_width","initial",48,5,5,3.75900120002916,0.9,0.4,0.2,0.4,2.05599789996631,4,"exp2",0,-0.2,0,0.5,2,1,-1,-0.5,0.2
"p301","up_down_width","match",49,5,5,2.50552349997452,0.825,0.55,0.35,0.4,3.74800229998073,3.85,"exp2",0,-0.2,0,0.636363636363636,2.75,1.75,-1,-0.363636363636364,0.2
"p301","up_down_width","initial",50,4,4,1.88698520004982,1.1,0.4,0.35,0.4,1.61795049998909,3.7,"exp2",0,-0.05,0,0.875,1.6,1.4,-0.2,-0.125,0.05
"p301","up_down_width","initial",51,5,5,1.67902260000119,0.9,0.25,0.3,0.25,1.53096689999802,3.85,"exp2",0,0.05,0,1.2,1.25,1.5,0.25,0.2,0.05
